category_no,category_name,2025-08-26T11:00:00Z,2025-08-26T12:00:00Z,2025-08-26T13:00:00Z,2025-08-26T14:00:00Z,2025-08-26T15:00:00Z,2025-08-26T16:00:00Z,2025-08-26T17:00:00Z,2025-08-26T18:00:00Z,2025-08-26T19:00:00Z,2025-08-26T20:00:00Z,2025-08-26T21:00:00Z,2025-08-26T22:00:00Z,2025-08-26T23:00:00Z,2025-08-27T01:00:00Z,2025-08-27T03:00:00Z,2025-08-27T04:00:00Z,2025-08-27T05:00:00Z,2025-08-27T06:00:00Z,2025-08-27T07:00:00Z,2025-08-27T08:00:00Z,2025-08-27T09:00:00Z,2025-08-27T10:00:00Z,2025-08-27T11:00:00Z
00040208,인펙션 프리존,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040209,하데스 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040210,여귀교 2: 자유로운 영혼의 길,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040213,세누아의 전설: 헬블레이드 II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040215,아이 돈트 폴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040216,엘든 링: 황금 나무의 그림자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040219,카운터 스트라이크 온라인,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040220,스톰게이트,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040221,WWE 2K24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040222,Once Human,93,125,115,89,38,16,0,0,0,0,0,0,0,0,0,0,7,9,7,9,0,27,38
00040223,퍼스트 디센던트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040224,유로 트럭 시뮬레이터 2,4,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1,1,0,3
00040225,검은 신화: 오공,0,21,21,18,14,15,12,16,17,13,0,0,0,0,0,0,0,1,1,1,1,1,11
00040226,호연,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040227,인조이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040228,스타워즈: 아웃로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040229,크라임 씬 클리너,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040230,슈퍼바이브,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040231,마법소녀 즈큥도큥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040232,역전검사,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040233,EA Sports FC 25,10,20,25,31,10,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
00040234,프로스트펑크 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040235,젤다의 전설 지혜의 투영,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040236,사일런트 힐 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040237,PUBG: 블라인드스팟,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040238,몬스터 헌터 와일즈,3,8,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
00040239,제로 시버트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040240,슈퍼 마리오 파티 잼버리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040242,주,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040243,쁘띠 아일랜드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040244,스토커 2: 초르노빌의 심장부,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040245,WJMAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040246,락다운 프로토콜,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040247,DEADLOCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040248,인디아나 존스: 그레이트 서클,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040249,패스 오브 엑자일 2,0,0,1,0,0,0,0,2,2,4,6,4,5,3,3,0,0,4,8,0,0,4,4
00040250,델타포스,2,5,4,2,5,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
00040251,코난 엑자일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040252,겟 투 워크,5,4,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040253,마블 라이벌즈,0,0,0,0,3,3,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
