captured_at_utc,category_no,category_name,view_cnt
2025-08-20 06:00:00+00:00,290007,경제,26
2025-08-20 06:00:00+00:00,330000,먹방/쿡방,546
2025-08-20 06:00:00+00:00,350002,명탐정 코난,239
2025-08-20 06:00:00+00:00,350004,기타 애니,0
2025-08-20 06:00:00+00:00,350018,검정고무신,203
2025-08-20 06:00:00+00:00,350025,원피스,19
2025-08-20 06:00:00+00:00,350041,나의 히어로 아카데미아,0
2025-08-20 06:00:00+00:00,350053,귀멸의 칼날,46
2025-08-20 06:00:00+00:00,360003,모바일 종합게임,38
2025-08-20 06:00:00+00:00,360012,모두의마블,0
2025-08-20 06:00:00+00:00,360018,클래시로얄,0
2025-08-20 06:00:00+00:00,360020,포켓몬 GO,0
2025-08-20 06:00:00+00:00,360021,리니지2:레볼루션,0
2025-08-20 06:00:00+00:00,360022,리니지M,42
2025-08-20 06:00:00+00:00,360028,라그나로크M,0
2025-08-20 06:00:00+00:00,360030,검은사막M,0
2025-08-20 06:00:00+00:00,360031,배틀그라운드 모바일,0
2025-08-20 06:00:00+00:00,360033,에픽세븐,0
2025-08-20 06:00:00+00:00,360034,오크,0
2025-08-20 06:00:00+00:00,360035,십이지천M,0
2025-08-20 06:00:00+00:00,360037,라이프애프터,0
2025-08-20 06:00:00+00:00,360038,페이트/그랜드 오더,0
2025-08-20 06:00:00+00:00,360040,프린세스 커넥트 리:다이브,0
2025-08-20 06:00:00+00:00,360041,다크에덴M,0
2025-08-20 06:00:00+00:00,360043,블레이드 & 소울 레볼루션,0
2025-08-20 06:00:00+00:00,360044,클래시 오브 클랜,0
2025-08-20 06:00:00+00:00,360046,V4,0
2025-08-20 06:00:00+00:00,360048,에오스 레드,0
2025-08-20 06:00:00+00:00,360049,엑소스히어로즈,0
2025-08-20 06:00:00+00:00,360050,리니지2M,0
2025-08-20 06:00:00+00:00,360052,A3: 스틸얼라이브,0
2025-08-20 06:00:00+00:00,360054,바람의나라: 연,0
2025-08-20 06:00:00+00:00,360055,카트라이더 러쉬플러스,0
2025-08-20 06:00:00+00:00,360056,리그 오브 레전드: 와일드 리프트,0
2025-08-20 06:00:00+00:00,360057,미르4,0
2025-08-20 06:00:00+00:00,360058,대항해시대 오리진,0
2025-08-20 06:00:00+00:00,360059,그랑사가,0
2025-08-20 06:00:00+00:00,360060,세븐나이츠2,0
2025-08-20 06:00:00+00:00,360062,쿠키런,0
2025-08-20 06:00:00+00:00,360063,원신,0
2025-08-20 06:00:00+00:00,360066,DK모바일,0
2025-08-20 06:00:00+00:00,360067,디아블로 이모탈,0
2025-08-20 06:00:00+00:00,360068,제2의 나라,0
